,count
3室2厅,6191
3室1厅,3744
2室1厅,2959
4室2厅,2551
2室2厅,1645
1室1厅,877
4室1厅,667
5室2厅,611
1室0厅,159
5室1厅,151
6室2厅,111
5室3厅,108
4室3厅,78
1室2厅,45
7室2厅,29
3室3厅,29
6室1厅,28
6室3厅,28
2室0厅,12
3室0厅,11
7室1厅,8
7室3厅,8
6室4厅,5
5室4厅,5
8室3厅,5
10室4厅,3
8室2厅,3
4室4厅,3
7室4厅,2
4室0厅,2
6室5厅,2
9室3厅,2
9室4厅,2
8室4厅,1
11室2厅,1
8室1厅,1
6室0厅,1
5室5厅,1
9室1厅,1
